S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
199,C,Phase 1,Cycle 1,N_08013_02001_MP,N/08013/02001/MP,N_08013_02001_MP,Jhansi-Khajuraho from Km. 76.3 to Km. 161.7 near Bamitha Town,76400,161900,25.2350514218333,79.2910206346667,24.7671717666667,79.8805871701667
200,C,Phase 1,Cycle 1,N_04019_05001_MP,N/04019/05001/MP,N_04019_05001_MP,Rewa(Km 242.600) to Maihar (Km 311.000) of NH-7 (New NH-30) in Madhya Pradesh [Rewa - Katni - Jabalpur Pkg I],656000,725170,24.50899553,81.22662131,24.19081638,80.70824233
201,C,Phase 1,Cycle 1,N_04019_03001_MP,N/04019/03001/MP,N_04019_03001_MP,Maihar (Km 311.000) to Katni (Km 359.500) and Katni (Km 378.500) to Sleemnabad (Km 397.000)[Rewa - Katni - Jabalpur Pkg II],311000,399690,24.191890937,80.7096864011667,23.614646542,80.2374484851667
202,C,Phase 1,Cycle 1,N_04019_01003_MP,N/04019/01003/MP,N_04019_02001_MP,Sleemnabad (KM 397.000) to Jabalpur (Km 465.500) [Rewa - Katni - Jabalpur Pkg IV],465600,547300,23.161044756,79.8646902721667,22.5644531785,79.6033609403333
203,C,Phase 1,Cycle 1,N_04019_01003_MP,N/04019/01003/MP,N_04019_01001_MP,Jabalpur (Km 465.500) to Lakhnadon (Km 546.425) of NH-7 in Madhya Pradesh,465600,547300,23.161044756,79.8646902721667,22.5644531785,79.6033609403333
204,C,Phase 1,Cycle 1,N_02008_16002_MP,N/02008/16002/MP,N_02008_16002_MP,Lalitpur - Sagar - Lakhnadon OMT,99000,415130,24.6714766111667,78.4400671663333,22.5679224741667,79.6038353056667
205,C,Phase 1,Cycle 1,N_02008_17001_MP,N/02008/17001/MP,N_02008_17001_MP,Lakhnadon - Seoni MP 2,547400,596750,22.56758504,79.60373863,22.15729127,79.53664505
206,C,Phase 1,Cycle 1,N_02008_20001_MP,N/02008/20001/MP,N_02008_20001_MP,Delinked stretch of Seoni - MP/MH Border (MP 3),624480,653770,21.91223344,79.52477645,21.68588353,79.42348519
207,C,Phase 1,Cycle 1,N_02008_21001_MH,N/02008/21001/MH,N_02008_21001_MH,4 of MP/MH Border-Nagpur including Kamptee-Kanhan and Nagpur Bypass and Maintenance of Nagpur-Hyderabad from Km.14.585 to Km. 36.600,14585,36605,21.0231773745,79.0497746075,20.8448579595,78.9604554573333
208,C,Phase 1,Cycle 1,N_04001_15001_MH,N/04001/15001/MH,N_04001_15001_MH,Wainganga Bridge - MH/CG Border,405000,485020,21.0745620183333,80.447571803,21.1208257333333,79.7119666933333
209,C,Phase 1,Cycle 1,N_03010_05001_MH,N/03010/05001/MH,N_03010_05001_MH,4 of Saoner - Dhapewada - Kalmeshwar Gondkhiari (Pkg II) from km 4.700 to km 33.575,4700,33580,21.3772757508333,78.9175704921667,21.1393733895,78.881625355
210,C,Phase 1,Cycle 1,N_04001_07001_MH,N/04001/07001/MH,N_04001_07001_MH,Talegaon - Amravati from km. 100.000 to km. 166.725,100000,165920,21.1055092878333,78.1855709046667,20.8393197753333,77.7203168368333
211,C,Phase 1,Cycle 1,N_04014_08001_MH-RCW,N/04014/08001/MH-RCW,N_04014_08001_MH,Four Laning of Wardha - Butibori of NH-361 (Pkg - IV) from km. 465.50 to km. 524.69,465500,524720,20.6888915546667,78.5395385268333,20.911126179,78.9898371108333
212,C,Phase 1,Cycle 1,M_04014_07001_MH-RCW,M/04014/07001/MH-RCW,N_04014_07001_MH,Four Laning of Yavatmal to Wardha (Pkg-III) of NH-361 from Km 400.575 to Km 465.500,400575,465515,20.3658937046667,78.0978879935,20.6898560586667,78.5402495523333
213,C,Phase 1,Cycle 1,N_02009_09002_MH,N/02009/09002/MH,N_02009_11001_MH,Kelapur(Km 153.000) to Pimpalkhuti(Km 175.000) of NH-7,153000,175010,19.9957142765,78.5354921658333,19.8160427115,78.5782944993333
214,C,Phase 1,Cycle 1,N_09031_01001_MH,N/09031/01001/MH,N_09031_01001_MH,Warora - Wani from km. 313.850 to km. 332.160,313850,332160,20.2031622068333,79.0263394875,20.0692067675,78.9668021818333
215,C,Phase 1,Cycle 1,"
N_04023_05001_MH","
N/04023/05001/MH",N_04023_05001_MH,Karodi - Telwadi km 320.104 - km 375.00 of NH 211 (New NH- 52),320640,376000,19.896160309,75.205253499,20.2971761111667,75.0862180165
216,C,Phase 1,Cycle 1,N_04004_07001_MP,N/04004/07001/MP,N_04004_08001_MP,Service Road on Indore-Dewas,577550,610000,22.9267223723333,76.0120274615,22.663502016,75.9149252123333
217,C,Phase 1,Cycle 1,N_04004_06001_MP,N/04004/06001/MP,N_04004_06001_MP,Four laning of Biaora to Dewas Section from Km 426+100 to Km 566+450 of NH-3,191200,332600,23.8869754843333,76.8853040093333,22.9918064691667,76.0853382023333
218,C,Phase 1,Cycle 1,N_04001_02001_MH,N/04001/02001/MH,N_04001_02001_MH,4 of Vadape - Gonde (km 539.500 to km 440.00) section of Old NH-3,440000,539510,19.8284028448333,73.6748659866667,19.3223746426667,73.1085324178333
219,C,Phase 1,Cycle 1,N_01001_04003_MP,N/01001/04003/MP,N_01001_04003_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-18) (Ch. 484+420 to Ch. 517+420) [Jodmi village to Bani village of Mandsaur district],484420,517430,24.3710068068333,75.6983175715,24.1228067675,75.5200818385
220,C,Phase 1,Cycle 1,N_01001_04005_MP,N/01001/04005/MP,N_01001_04005_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-20) (Ch. 546+920 to Ch. 572+220) [Bardawadi village of Mandsaur district to Kamliya village of Ratlam district],546920,572240,23.9025850303333,75.3596544251667,23.7224125321667,75.2129970658333
221,C,Phase 1,Cycle 1,N_01001_04006_MP,N/01001/04006/MP,N_01001_04006_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-21) (Ch. 572+220 to Ch. 602+420) [Kamliya village to Kandarwasa village of Ratlam district],572220,602420,23.7224148041667,75.2129654846667,23.5057573111667,75.0425697263333
222,C,Phase 1,Cycle 1,N_01001_04007_MP,N/01001/04007/MP,N_01001_04007_MP,"Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-22) (Ch. 602+420 to Ch. 627+420) [Kandarwasa village to Bawadi village (Near Shivgarh) of Ratlam district]""",602420,627460,23.505619366,75.0424407275,23.3304756046667,74.8988796808333
223,C,Phase 1,Cycle 1,N_01001_04008_MP,N/01001/04008/MP,N_01001_04008_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-23) (Ch. 627+420 to Ch.652+720) [Bawadi village (Near Shivgarh) of Ratlam district to Ranni Village of Jhabua district],627420,652720,23.3304225008333,74.8986624693333,23.1733603458333,74.7224775578333
224,C,Phase 1,Cycle 1,N_01001_04009_MP,N/01001/04009/MP,N_01001_04009_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-24) (Ch. 652+720 to Ch.674+420) [Ranni Village to Miyati Village of Jhabua district],652720,673770,23.1731533605,74.7224129168333,23.0714446283333,74.5529066723333
225,C,Phase 1,Cycle 1,N_01001_04010_MP,N/01001/04010/MP,N_01001_04010_MP,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-25) (Ch.673.770 to Ch.696.920) [Miyati Village to MP-Gujarat Border],673770,696920,23.0714020625,74.5525734905,23.000546147,74.3421367906667
226,C,Phase 1,Cycle 1,N_04002_25002_GA,N/04002/25002/GA,N_04002_25002_GA,Operation and Maintenance of NH-17B from Km.0.000 (Verna Junction) to Km.13.100 (Varunapuri Junction) in the State of Goa,0,54010,23.252592858,77.5116829986667,23.4908979138333,77.7455616641667
227,C,Phase 1,Cycle 1,N_04002_25002_GA,N/04002/25002/GA,N_04017_01001_MP,Bhopal-Sanchi section from km. 0.000 to km. 53.775 of NH-86 (Extn.) in M.P.,0,54010,23.252592858,77.5116829986667,23.4908979138333,77.7455616641667
